faits;tauxpourmille;yr_id;dp_id;cl_id
1437;2,25085170536868073;1;1;1
1940;3,61848486204992748;1;2;1
878;2,58704004903000717;1;3;1
472;2,90345400301417911;1;4;1
426;3,01898559249363974;1;5;1
4804;4,43294478935207348;1;6;1
755;2,32195524008402110;1;7;1
963;3,49710027562815284;1;8;1
475;3,10321623864059548;1;9;1
1179;3,81664562493930237;1;10;1
1273;3,45900414374023502;1;11;1
581;2,08470130643673990;1;12;1
8703;4,30901953095408885;1;13;1
2077;2,99418030529971357;1;14;1
296;2,02782782645630233;1;15;1
1067;3,02019881796154976;1;16;1
1678;2,61292979814416571;1;17;1
862;2,80681189150467292;1;18;1
614;2,54207464756660562;1;19;1
1399;2,62371697614274213;1;20;1
1280;2,13706250740876147;1;21;1
232;1,94139010225770292;1;22;1
880;2,12156060069095398;1;23;1
2003;3,71925302990071494;1;24;1
1699;3,34444868761392566;1;25;1
1945;3,22647534524945057;1;26;1
1268;2,92213703163420746;1;27;1
2191;2,41233406257535110;1;28;1
505;3,27278147540877384;1;29;1
481;2,73059630319269697;1;30;1
2396;3,22908440093476345;1;31;1
4495;3,33411710428035368;1;32;1
335;1,75701758066546398;1;33;1
5226;3,33571842094009074;1;34;1
4660;4,11485932214315309;1;35;1
2637;2,50718069100067575;1;36;1
535;2,39368246795373718;1;37;1
1490;2,45784142139113815;1;38;1
3868;3,08720804014966710;1;39;1
627;2,40675272630960757;1;40;1
898;2,21722920421717973;1;41;1
770;2,31391746226361228;1;42;1
2145;2,81497171248705724;1;43;1
470;2,06739714699193700;1;44;1
3924;2,84172380530281332;1;45;1
2138;3,17055447629498888;1;46;1
329;1,89792727881070911;1;47;1
967;2,90536094678111834;1;48;1
147;1,92352987359660821;1;49;1
1693;2,08771613966118075;1;50;1
1132;2,27144124150717763;1;51;1
2240;3,92374619668128100;1;52;1
594;3,33550459333797544;1;53;1
659;2,14177998491978894;1;54;1
2454;3,34413978340767004;1;55;1
567;2,99912723810531290;1;56;1
1681;2,24868503427204702;1;57;1
3063;2,93034055283271000;1;58;1
508;2,42875105779758149;1;59;1
11563;4,44094859553032340;1;60;1
2850;3,46066138703308379;1;61;1
750;2,62873806552918277;1;62;1
6145;4,17821142633735043;1;63;1
1514;2,32672506531427681;1;64;1
1447;2,14692886795868176;1;65;1
521;2,28680282141430657;1;66;1
1893;3,99056430753274327;1;67;1
3389;3,02209634860492216;1;68;1
2304;3,02067668926492949;1;69;1
7291;3,97134271255071747;1;70;1
740;3,11917788587181022;1;71;1
1395;2,51340935420694267;1;72;1
1634;2,87898569492970813;1;73;1
1177;2,73924143725228708;1;74;1
1985;2,47686594727332610;1;75;1
11160;5,09512963132902108;1;76;1
4172;3,32230411186895536;1;77;1
4769;3,41211949930777392;1;78;1
4226;2,95151305202932246;1;79;1
767;2,04673602975906155;1;80;1
2101;3,66830556059950030;1;81;1
837;2,16588001490498083;1;82;1
688;2,67811613214634692;1;83;1
4355;4,12475220705024803;1;84;1
1983;3,54731724071311261;1;85;1
1437;2,14286672919801280;1;86;1
1048;2,40328938768864564;1;87;1
864;2,30413517593032102;1;88;1
973;2,63228375640148160;1;89;1
1330;3,90551588047359521;1;90;1
545;3,78238449846969571;1;91;1
4392;3,41171261448113539;1;92;1
5054;3,15231140395741694;1;93;1
9070;5,64525164004829882;1;94;1
5185;3,76228729652991545;1;95;1
4640;3,79729328280096201;1;96;1
2552;6,47534952170713751;1;97;1
2122;5,63642158946026317;1;98;1
2051;7,61457126733790712;1;99;1
4213;4,93947878122787021;1;100;1
1384;5,39533288112335274;1;101;1
1464;2,27558871531825568;2;1;1
1866;3,49117850661378126;2;2;1
1013;2,99714782773352928;2;3;1
521;3,17847664948296371;2;4;1
381;2,69669601653407343;2;5;1
4573;4,22132169000563096;2;6;1
756;2,32106891978189323;2;7;1
969;3,54193852598335379;2;8;1
540;3,52588587882705529;2;9;1
1197;3,86104122314689358;2;10;1
1319;3,56236158375195844;2;11;1
584;2,09164559500870340;2;12;1
8999;4,44579040610385956;2;13;1
2002;2,88471791147575951;2;14;1
270;1,86023438953308129;2;15;1
1103;3,13054337491307955;2;16;1
1810;2,80923726880054847;2;17;1
918;3,01719604543542319;2;18;1
656;2,71676109068018423;2;19;1
1507;2,82305425621793171;2;20;1
1363;2,27616588790509233;2;21;1
209;1,76166152497513440;2;22;1
963;2,32830278090743370;2;23;1
2116;3,92530056560687246;2;24;1
1564;3,05735671572642520;2;25;1
1974;3,27992516320701588;2;26;1
1253;2,89220811895677388;2;27;1
2460;2,70618726815895672;2;28;1
519;3,30049793639387223;2;29;1
473;2,66195431343527211;2;30;1
2514;3,37822402704729230;2;31;1
4729;3,47038759143799824;2;32;1
418;2,18743949217911871;2;33;1
5208;3,28915790484178183;2;34;1
4797;4,18991485659782814;2;35;1
2884;2,72024402965858281;2;36;1
557;2,50638971885237050;2;37;1
1550;2,55560080526156996;2;38;1
3915;3,11029758755308983;2;39;1
680;2,61349485756453026;2;40;1
984;2,41505581135076230;2;41;1
926;2,78987090068240340;2;42;1
2325;3,04741782129941896;2;43;1
444;1,95351170127110252;2;44;1
4249;3,04607684085485131;2;45;1
2344;3,45669181026537187;2;46;1
362;2,08251835147387077;2;47;1
1056;3,17267652519814192;2;48;1
177;2,31067479536820652;2;49;1
1859;2,28520712532252901;2;50;1
1313;2,64247317779034496;2;51;1
2293;4,03062076481600240;2;52;1
655;3,72921885675244846;2;53;1
729;2,37115581648750195;2;54;1
2560;3,49020629027882112;2;55;1
589;3,14658603428656924;2;56;1
1880;2,50378564398565384;2;57;1
3438;3,29461190085115607;2;58;1
519;2,50504387446785914;2;59;1
12013;4,61264778577163437;2;60;1
2718;3,29653136495561583;2;61;1
795;2,80549948477619537;2;62;1
6306;4,29558765628214445;2;63;1
1697;2,59582526440094119;2;64;1
1642;2,42429969186885153;2;65;1
587;2,56859055703846284;2;66;1
1906;4,01726623557282991;2;67;1
3532;3,13799632005074836;2;68;1
2470;3,23285734853343465;2;69;1
7189;3,90003032573309349;2;70;1
666;2,81417567047946626;2;71;1
1512;2,73123854081052064;2;72;1
1773;3,12971089450067597;2;73;1
1178;2,73207568174333337;2;74;1
1997;2,47349385652001574;2;75;1
11889;5,43490683082166814;2;76;1
4184;3,33551768286752459;2;77;1
5124;3,64958044782146951;2;78;1
4358;3,03003755911632444;2;79;1
797;2,12901795373860381;2;80;1
2158;3,76980764897116405;2;81;1
874;2,25321611797158949;2;82;1
714;2,76370336250575788;2;83;1
4132;3,90275232823922780;2;84;1
1940;3,46751173859966144;2;85;1
1531;2,26731847753488758;2;86;1
1145;2,62088098224667876;2;87;1
824;2,20070187433564968;2;88;1
885;2,40703015995191372;2;89;1
1461;4,31876697872541637;2;90;1
515;3,61094361318730606;2;91;1
4663;3,59763295348460410;2;92;1
5225;3,24674114183380924;2;93;1
9549;5,88314662398320287;2;94;1
5218;3,75956643221612685;2;95;1
4584;3,73102135895778808;2;96;1
2392;6,12935710936238820;2;97;1
2219;5,95554410430656400;2;98;1
2088;7,77074804614812109;2;99;1
4396;5,14959720450437519;2;100;1
1420;5,53567390982309249;2;101;1
1532;2,36553361929731931;3;1;1
2220;4,16263528564678342;3;2;1
1130;3,35141515729407358;3;3;1
553;3,37055367286734775;3;4;1
509;3,61767757892791675;3;5;1
4992;4,59575831393116818;3;6;1
785;2,40350759018511617;3;7;1
983;3,61603119424672137;3;8;1
535;3,49522428233572446;3;9;1
1313;4,23521063157215583;3;10;1
1418;3,80358685214293768;3;11;1
561;2,00877990790406535;3;12;1
10133;4,98093500796566158;3;13;1
2240;3,22740528141821414;3;14;1
329;2,27264877560183765;3;15;1
1174;3,33733206738340682;3;16;1
1991;3,07760321022920502;3;17;1
970;3,19701524020460903;3;18;1
640;2,66020458635897006;3;19;1
1661;3,11503694535088727;3;20;1
1441;2,40333297753108832;3;21;1
276;2,34887619890555976;3;22;1
1069;2,58576065870378136;3;23;1
2312;4,26998415377853036;3;24;1
1796;3,48919437687961898;3;25;1
2085;3,47522009727282732;3;26;1
1343;3,10881788530938863;3;27;1
2566;2,81441427607802730;3;28;1
535;3,38922921959037859;3;29;1
515;2,85001189810792432;3;30;1
2681;3,59644674817360599;3;31;1
4989;3,61345779446530413;3;32;1
470;2,45709237098958067;3;33;1
5684;3,54840824174623615;3;34;1
5073;4,37621849174444932;3;35;1
2851;2,66640978350735303;3;36;1
652;2,95564269362406229;3;37;1
1709;2,81196524944056847;3;38;1
4514;3,57243762281738242;3;39;1
736;2,83353737882392798;3;40;1
1135;2,76589782018008812;3;41;1
897;2,71614059736924984;3;42;1
2385;3,12401351250456782;3;43;1
524;2,30277035578680911;3;44;1
4604;3,25946441137782461;3;45;1
2567;3,78142285794253485;3;46;1
406;2,33428582927516404;3;47;1
1218;3,66900623550320804;3;48;1
193;2,52221641400940921;3;49;1
2026;2,48319918419675334;3;50;1
1274;2,56863642503876166;3;51;1
2355;4,15005762500396447;3;52;1
617;3,54457140559203543;3;53;1
789;2,56932956454911343;3;54;1
2824;3,85019680450025836;3;55;1
641;3,45822880418656098;3;56;1
2099;2,78062228180593385;3;57;1
3312;3,17386087909813286;3;58;1
535;2,59925763258643139;3;59;1
12965;4,97461087530897128;3;60;1
2910;3,51809157435202424;3;61;1
863;3,06470686416210647;3;62;1
6562;4,47385806511433781;3;63;1
1696;2,57340891710467234;3;64;1
